ST,Count
1558,1
1566,1
30,1103
39,89
8,4017
34,134
1,1645
22,5320
130,494
3121,1
398,2727
181,1
183,2
184,2
185,4
541,6
191,1
,959
5,5131
239,2948
105,1388
231,81
36,649
236,1
45,813
241,23
242,1
1245,54
2371,84
149,19
15,769
20,134
244,1
1892,6
88,288
6,214
772,380
500,1
25,214
1225,2
1329;501,1
174,1
72,194
101,63
89,4
125,26
1829,1
2865,1
582,61
245,1
50,45
1815,1
1282,4
2925,5
118,2
59,333
1784,1
1944,5
496,31
248,28
1076,2
425,201
111,16
249,1
2866,1
146,43
923,5
251,2
252,1
337,1
175,1
377,1
97,776
2881,1
121,163
9,549
2870,1
225,121
1693,7
123,21
7,167
109,74
2875,1
228,64
81,34
2867,3
609,220
3141,2
1481,1
428,1
2863,1
12,143
10,8
78,24
439,1
2880,1
2858,1
656,1
2233,1
26,15
682,1
2861,1
2066,3
686,1
35,1
150,1
2869,1
2860,1
1776,12
2879,1
757,35
3,6
395,7
752,6
188,431
368,2
2690,1
902,1
2864,1
2878,1
1021,4
1066,9
346,5
2859,1
753,1
1375,2
1082,2
1207,9
737,7
2626,1
1177,1
573,23
2938,4
1190,2
2636,4
1283,1
46,10
2877,1
1352,3
664,2
1441,1
1452,1
2914,1
1463,2
176,1
1494,1
2937,1
1528,1
1529,5
1946,1
572,1
1074,16
1531,2
634,2
1540,11
1971,1
2876,1
1545,1
151,221
361,12
1526,7
93,469
672,34
1562,1
1764,8
3139,12
2149,2
2942,1
1945,17
1572,1
1576,1
2616,5
1578,1
1943,29
2900,1
80,32
2273,10
177,5
2274,7
2892,2
779,6
2037,1
2198,14
1579,5
2574,1
1580,4
133,485
1582,4
250,131
1584,1
1139,4
1586,6
2046,15
1587,3
1588,1
1589,1
1590,4
1591,5
179,5
180,43
3093,1
186,1
1957,8
2924,1
71,120
3132,3
1613,6
1617,1
700,37
2890,1
1618,34
3206,1
1692,6
2908,1
3111,2
3122,4
965,3
206,3
1823,1
1849,1
1223,6
574,3
3124,1
3106,4
2361,48
1868,2
2416,4
2928,1
3128,1
1869,1
2062,1
2063,1
1626,2
2174,1
3488,1
338,8
209,1
480,5
3091,9
49,173
599,16
3133,1
216,3
2926,1
2923,2
2932,1
2918,2
2893,1
2031,3
218,1
2939,1
94,3
2156,1
2024,2
3123,1
3131,1
3107,1
522,51
1956,6
2573,3
718,9
2161,1
2188,3
219,1
2391,1
1278,2
630,31
2895,4
2922,1
47,27
2940,1
291,43
223,1
2907,1
3098,1
2179,1
3112,1
2762,1
2979,3
247,113
3305,1
3306,2
3307,1
3308,1
3309,1
2899,1
3310,1
3311,3
3312,5
2902,1
224,2
2896,2
2903,1
95,2
2906,2
2929,1
789,23
2911,1
1224,15
54,17
508,48
2912,1
2933,1
51,9
2889,5
2891,1
605,2
2905,1
828,5
3314,10
2750,2
3315,2
3316,2
830,1
3317,3
227,2
3113,3
2014,1
3095,2
2910,2
2197,1
3320,1
3097,2
692,27
3321,1
182,39
2897,1
446,3
1126,4
3104,1
3109,1
3110,1
3322,1
2250,14
2793,1
3325,1
2930,2
3326,1
2934,1
2898,1
1460,7
2919,1
1035,2
2931,1
2941,1
2927,1
464,21
2904,1
3329,1
2913,1
229,1
3330,3
230,1
232,4
3094,2
2173,1
1958,4
233,1
3332,1
3333,1
2113,1
3334,1
1744,1
3335,3
254,22
3338,1
3129,3
2021,7
2901,1
2936,1
3087,1
3339,1
3108,3
3127,3
3114,1
3130,1
3103,3
3116,1
3136,1
3341,1
3343,1
3344,4
3345,3
3346,3
3347,1
3348,1
3096,3
1232,18
3115,1
816,23
3349,3
3350,3
352,291
1247,7
3134,1
3125,2
1859,2
3352,1
2032,1
2935,1
970,6
2894,1
2440,4
3356,1
2917,1
1850,8
3357,1
1709,1
3358,1
1073,4
237,1
913,2
2888,2
2920,1
2916,2
3359,1
2915,1
138,1
